comment,score,title
大人800円、子供無料で常設展と企画展の両方が見られます。TREXの企画展をやっていて、こちらを先に見たら手作り感満載で、良くも悪くも「地方の博物館だなぁ」と思いました。春に福井の恐竜博物館に行ったので比較するとかなりレベルダウン。が、常設展がよいです。歴史とサイエンス...さらに表示,1.0,良いです
料金は忘れましたが、規模は大きく、子どもも楽しんでいました。何かに特化しているような特徴はないですが、カテゴリー一つ一つの規模が大きく楽しめます。,1.0,リピートしました
夏休み平日に伺いました。 あまり人もいなくゆっくり見れました。 常設展は想像以上に見るものがあり、小さな子どもでも楽しめます。 見やすいし、新しく綺麗です。,1.0,常設展が見応えあります
こちらの博物館は結構スゴイらしいという噂を信じて訪ねてみました。 夏休みのためかT-Rexの企画展中で、ラッキーでした。 見学順序としては常設展からを推奨されており、こちらから見学を。最初の展示から動く恐竜が❗️最近改装されたのでしょうか？かなり見やすく、小さな子供も楽...さらに表示,1.0,侮れない
結構、見ごたえ有ります。中学生まで無料もお得です。 常設展示はちゃんと見ると2時間位は見込んで下さいね。,1.0,Trex企画展示開催中です
恐竜模型の迫力に圧倒されました。床がガラスばりの所があって、ハラハラして楽しかったです。大人から子供まで楽しめると思います。,1.0,楽しく勉強になる
子供が小さい頃は良く行きましたが、大人になり数年ぶりに訪れました。 身近な自然、天体、ダーウィンの部屋など展示に工夫され、じっくり楽しめました。 何と言っても、圧巻は動くティラノサウルス。 とてもよく出来ていて、美しいです。 ガラスの床の発掘現場など、ドキドキする展示...さらに表示,1.0,圧巻のティラノサウルス
欧州の博物館にも結構通っていますが、群馬県立自然史博物館は展示物の説明たが変わりやすくく、地元に特化したコーナーも充実していました。地元のクラブとタイアップして展示物の標本を作成したり活動が楽しそうです。展示物はかなりの量で、ゆっくり見れば半日はかかります。 外に隣接さ...さらに表示,1.0,日本で訪れた博物館では一番気に入ってます
人類の進化から始まって、恐竜の発掘現場や動く恐竜もあり、子どもも大人も楽しめる博物館です。 あとは群馬県の魚や動植物の紹介、ダーウィンの進化論、環境問題についてなどさまざまなことについて展示されてました。,1.0,楽しかった
富岡製糸場がまさかの休場日(水曜日)だったため，こんにゃくパ－クにつづいて訪問．学生であったため入場料はたったの300円．しかしながら展示品の多さ，内容ともに非常に充実している．特に群馬の動物の標本がたくさんあり，他では見られないものばかりであった．特別展がある時にいけ...さらに表示,1.0,コスパが良い
他の方の口コミで選びましたが、間違いなく「当たり」の博物館でした。 内部は5つのゾーンに分かれていて、中でも1番は恐竜関連のゾーンでした。 実物大の恐竜の大きさ驚き、恐竜の足の断面図に驚き、とにかく目をくるくるさせて展示物を見て回りました。 展示物の中には、触っていいも...さらに表示,1.0,迫力の展示内容！大人も子供も夢中になれました。
エントランスあたりから岩の展示があり、よほど石が好きな人なら楽しいんだろうけど…と思っていたら 最初の展示を過ぎてすぐ、なんとかザウルスの模型群に…　動くし。 あれこれ見て回るのが意外に楽しく、ダーウィンの人形がいきなり大きな声で話しかけてくるのには驚いてしまった。いろ...さらに表示,1.0,大人も楽しめる場所
動くティラノサウルスは圧巻！ 高い天井を衝くようにスーパーサウルスの化石が展示され、化石発掘の現場を再現した展示場所では、ガラス張りの床下5m程の場所に展示物があり、空を飛んでいるような不思議な感覚を味わえます。 今ならフタバススズキリュウの化石も拝めるし、(こう言って...さらに表示,1.0,充実の展示内容！
施設自体も素晴らしいです、その周りも中々遊べる公園になっています。 　小さなお子様であれば一日遊んでいられる場所です、なので春や秋など過ごしやすい時期に訪れると良いです。 　お弁当など持ってきてピクニックされている方も見かけます、軽食であれば駐車場に売店があったはずで...さらに表示,1.0,周辺の環境と総合でご家族連れにお勧めの場所　一日遊べます！
大好きな博物館です。何回行ったか分かりません。 まず、ちょっと怖いのが、大きなガラスの下のトリケラトプスの発掘風景。最初は落ちてしまいそうでハラハラします。 その横にトリケラトプスの骨格があるのですが、ガラスの下の物がオリジナルだそうです。 ティラノサウルスが動いたり、...さらに表示,1.0,大好き博物館
恐竜模型の迫力に圧倒されました。床がガラスばりの所があって、ハラハラして楽しかったです。大人から子供まで楽しめると思います。,1.0,楽しく勉強になる
子供が小さい頃は良く行きましたが、大人になり数年ぶりに訪れました。 身近な自然、天体、ダーウィンの部屋など展示に工夫され、じっくり楽しめました。 何と言っても、圧巻は動くティラノサウルス。 とてもよく出来ていて、美しいです。 ガラスの床の発掘現場など、ドキドキする展示...さらに表示,1.0,圧巻のティラノサウルス
欧州の博物館にも結構通っていますが、群馬県立自然史博物館は展示物の説明たが変わりやすくく、地元に特化したコーナーも充実していました。地元のクラブとタイアップして展示物の標本を作成したり活動が楽しそうです。展示物はかなりの量で、ゆっくり見れば半日はかかります。 外に隣接さ...さらに表示,1.0,日本で訪れた博物館では一番気に入ってます
人類の進化から始まって、恐竜の発掘現場や動く恐竜もあり、子どもも大人も楽しめる博物館です。 あとは群馬県の魚や動植物の紹介、ダーウィンの進化論、環境問題についてなどさまざまなことについて展示されてました。,1.0,楽しかった
富岡製糸場がまさかの休場日(水曜日)だったため，こんにゃくパ－クにつづいて訪問．学生であったため入場料はたったの300円．しかしながら展示品の多さ，内容ともに非常に充実している．特に群馬の動物の標本がたくさんあり，他では見られないものばかりであった．特別展がある時にいけ...さらに表示,1.0,コスパが良い
他の方の口コミで選びましたが、間違いなく「当たり」の博物館でした。 内部は5つのゾーンに分かれていて、中でも1番は恐竜関連のゾーンでした。 実物大の恐竜の大きさ驚き、恐竜の足の断面図に驚き、とにかく目をくるくるさせて展示物を見て回りました。 展示物の中には、触っていいも...さらに表示,1.0,迫力の展示内容！大人も子供も夢中になれました。
エントランスあたりから岩の展示があり、よほど石が好きな人なら楽しいんだろうけど…と思っていたら 最初の展示を過ぎてすぐ、なんとかザウルスの模型群に…　動くし。 あれこれ見て回るのが意外に楽しく、ダーウィンの人形がいきなり大きな声で話しかけてくるのには驚いてしまった。いろ...さらに表示,1.0,大人も楽しめる場所
動くティラノサウルスは圧巻！ 高い天井を衝くようにスーパーサウルスの化石が展示され、化石発掘の現場を再現した展示場所では、ガラス張りの床下5m程の場所に展示物があり、空を飛んでいるような不思議な感覚を味わえます。 今ならフタバススズキリュウの化石も拝めるし、(こう言って...さらに表示,1.0,充実の展示内容！
施設自体も素晴らしいです、その周りも中々遊べる公園になっています。 　小さなお子様であれば一日遊んでいられる場所です、なので春や秋など過ごしやすい時期に訪れると良いです。 　お弁当など持ってきてピクニックされている方も見かけます、軽食であれば駐車場に売店があったはずで...さらに表示,1.0,周辺の環境と総合でご家族連れにお勧めの場所　一日遊べます！
大好きな博物館です。何回行ったか分かりません。 まず、ちょっと怖いのが、大きなガラスの下のトリケラトプスの発掘風景。最初は落ちてしまいそうでハラハラします。 その横にトリケラトプスの骨格があるのですが、ガラスの下の物がオリジナルだそうです。 ティラノサウルスが動いたり、...さらに表示,1.0,大好き博物館
2006年8月に行きました。展示室に入ったらでかい恐竜がゴウゴウ動いていたのでびっくりしました。理科好きはもちろん、文系も楽しめます。,1.0,迫力満点の恐竜
恐竜の生きていた時代を思い描けるような空間で大人も子どもも楽しめる博物館となっています。ロマンチストな人ならだれでも感動して時間が過ぎるのが早く感じます。福井県の恐竜博物館もかなりよかったですがこちらもなかなかよかったです。 また他の動物展示も多いですよ。,1.0,恐竜の時代に思いを馳せる
息子（4月から小学二年生）と二人で行きました。恐竜や生き物が大好きな息子の皆勤賞のご褒美を兼ねた旅行で、最初は福井県の恐竜博物館への訪問を計画していたのですが、日程的に一泊が限度ということもあり、関東近県で恐竜の展示がある博物館を調べたところ、この博物館が目にとまりまし...さらに表示,1.0,想像以上！
富岡製糸場に注目が集まっていますが、こちらの施設も素晴らしいです。地球誕生から現在までを『自然史』と呼ぶそうですが、その中でも見栄えする恐竜や大型動物の骨格標本の展示には、「博物館なんて子供が行く所」などと、つぶやいていた年配の方も思わず「お～！」と声を上げます。 家...さらに表示,1.0,子供も大人も見入ってしまいます。
我が家のこどもは小５男の子、小２女の子、４才男の子です。 中学生までは無料です！！大人は入場料がかかりますが…。 ４歳児は、トリケラトプスの発掘されたところが再現されている展示と動くティラノサウスルがお気に入り（？）です。 トリケラトプスは透明なプラスチック（？）の上を...さらに表示,1.0,小さい子供から大人まで！
リアルな恐竜のロボット？が大迫力です。 地球・人類の誕生などが分かりやすく展示されているので、大人～子供までみんなで楽しめます。,1.0,リアルな博物館！
前の方と同じく、富岡製糸場に行った後で行きました。ティラノサウルスの模型は、センサーが感知すると動きます。下の子は喜んでました！ 他にも、トリケラトプスの化石発掘現場の様子が展示されていたり、他の博物館にはない展示の仕方で、良かったです。 自然史博物館好きキッズには満足...さらに表示,1.0,混雑もなく楽しめました。
世界遺産で注目されている富岡製糸場と同じ町にあります。 （車での移動は１５分ー２０分くらいかな？） 小さい子なら、でっかい！恐竜の模型の展示を見るだけでもすごくインパクトあるでしょうし 説明をいろいろ自分で読んでいける年齢の子なら、化石の展示も、群馬県内の動植物の展示...さらに表示,1.0,富岡製糸場と組み合わせてどうぞ。
とても広い館内で触ってみれるコーナーなどもあり とても充実した展示が観れます 時間をあまりとらずに閉館2時間前に入場してあわただしくなり失敗（笑） ゆっくりじっくり楽しめる場所なので 次回はリベンジとして午前中からゆっくり見学したいと思います♪,1.0,楽しい展示
まず駐車場の広さからビックリしました。施設内もとても広く展示物も多く充実しています。子供も全く飽きることなく夢中に見ていました。あっという間に数時間過ぎてしまうほどなので、半日は時間を取った方がいいかもしれません。我が家もまたいつか訪れたいと思っています。,1.0,広くて展示物が多いです
色々な展示がありとても楽しく見て回れます。行った時間が遅かったので後半は駆け足で見ることになってしまいました。今度はお昼をもって午前中から見て回りたいです。,1.0,展示が充実。
一度目は時間に余裕がなくじっくり観覧出来なかったので今回は時間制限なしで来館しました。 広さはもちろんですが展示内容も充実しているので子供でも飽きずに興味深く見学することが出来ます。 写真撮影の制限もないし、触れてみる展示も多いので割と自由に見学できるかたちも好印象です...さらに表示,1.0,時間のない方にはオススメできません
館内は広く、スタッフも必要以上に配備されていますので小さな子連れには安心して利用できると思います。 雰囲気も洗練されていて、どこで写真を撮っても絵になります。 恐竜のオブジェや実物大の骨はあまりの大きさに想像を膨らますのがとても楽しいです。 県立ならではの安い入場料も...さらに表示,1.0,ゆったりじっくり楽しめます。
県立の自然史博物館都市としては、かなりの内容で、お勧めの施設です。 群馬県からは、割と多くの化石が見つかっているようで、自然史系の博物館に力を入れているのには納得です。 恐竜のみならず、動物関係の内容も素晴らしかったです。剥製から進化。動物学的な専門部分まで、凝った造り...さらに表示,1.0,絶対お勧め！！
富岡市の山あいにある、群馬県立博物館です。ここは一般的な「見る」博物館とは異なり、「触る・感じる」ことにも力を入れた展示内容になっています。常設展示は恐竜化石の発掘現場再現が素晴らしい。ガラス張りの床になっており、一見の価値があります。また地元群馬の自然についてもテーマ...さらに表示,1.0,群馬の自然がよく分かる
県営施設で、中学生までは無料です。 人の成り立ちや、動く恐竜や骨格標本、石の標本などもあり、子供はもちろん、大人でも楽しめます。 理科の好きな方ならとてもわくわくすると思います。 ダーウィンの部屋ではロボットが動きます。 エコボール（閉ざされたガラスの中で循環ができてい...さらに表示,1.0,大人も楽しめます
手前にあるベイシアで飲み物を買い、企画展の深海生物（-9/2）に興味津津の息子（幼稚園児）を連れて家族で訪問。ダイオウイカも楽しみましたが、深海の水圧実験で、小さくなった発泡スチロールカップが一番印象に残ったそうです。 企画展もさることながら、常設展もなかなか。恐竜の骨...さらに表示,1.0,常設展も面白い。子どもから大人まで
常設展の展示物が素晴らしいと思いました。国立博物館並の恐竜の化石やレプリカなど・・・見応え抜群でした。小さい子も大人も楽しめる所です。,1.0,展示物が充実
度々訪れていますが・・・床下が透明で、発掘調査の様子が再現されているコーナーがあり、そこ絵行くとへいくと、子供たちが四つ這いになって「落ちちゃう・・・」という姿には微笑ましいものがります。その次のコーナーが、動く恐竜。何度行っても、かなり驚きます。質感といい、動きといい...さらに表示,1.0,リアル恐竜
恐竜にはまっていた息子が大のお気に入りで、２度行きました。 館内も広いですし、まわりの公園も充分楽しめます。 館内に入ると、巨大な恐竜の模型が（センサーで）動き子どもから大人まで驚かされ、ワクワクする施設です。 また、写真は、化石の発掘現場を再現しており、強化ガラスの上...さらに表示,1.0,幼稚園児の息子が大喜び！！！
大きな動くティラノサウルス。ダーウィンの直筆の書。透明なガラスの上を通るスペースなど、県立としてはあり得ないほど充実した博物館です。さらに、中学生まで無料です！！,1.0,中学生まで無料です
３歳の子どもをつれて行って来ましたが、まだちょっと早かったようです。 大きな恐竜の骨？を見て怖がってしまいました。 でも、迫力があったし、地球の歴史の勉強になるのでもう少し大きくなったらまた連れて行きたいと思いました。 大人は楽しめると思います！ 同じ敷地に大きな公園が...さらに表示,1.0,ちょっと早かった。
子供たちの遠足に選ばれる、とても大きな博物館です。ゴージャスで、動く天井まである恐竜模型など、男の子は大喜び！近くにサファリもありますが、雨でも楽しめる観光ができます。館内には多数工夫があり大人も子供も楽しめます。もみじ公園の中にあるので、お天気のいい日は外でお弁当を広...さらに表示,1.0,遊んで学ぼう
子供、というか男子の夢がつまった博物館。ティラノサウルスが動いたりするのは序の口、ダーウィン博士の蝋人形が動いて解説をして呉れます。そしておびただしい標本、化石、などなど、理系男子の心をくすぐりまくる宝箱です。しかし群馬はこういった公共施設が充実していますね。土日でもさ...さらに表示,1.0,理系男子の夢がつまってます
これは本当に素晴らしい自然史博物館です。それは大きな博物館ではありませんが、コレクションはよく表示され、地質学、恐竜の時代、地域の自然史（特に魚や鳥に重点を置いています）、人間の歴史などの包括的な概要を示しています。ほとんどのディスプレイは日本語で表示されていますが、レイアウトは英語を話す人（特に恐竜を愛している小さな男の子）にとって有益で使いやすいように設計されています。,1.0,偉大な自然史博物館
私はその地域に住む家族がいて、群馬自然博物館には非常に精通しているので、雨の日には完璧な外出でした。博物館は美しく整えられていて、先史時代の大型の恐竜の骨格から、最も小さな近代的な小枝までの標本でいっぱいです。多くの展示は地元の動物相のものです。 2歳と4歳の姉（元気いっぱい）から67歳のおじいちゃんまで、私たちのパーティーの皆さんに面白かったです。ディスプレイはよく考えられ、教育的で楽しい。私の夫と私はアメリカ人（日本語以外の国）の観光客です。私たちはほとんどが日本語のディスプレイを理解するのに問題はありませんでしたが、翻訳があります。これはとても素敵な半日旅行です。私は家族の外出としてそれを強く勧めます。,1.0,非常に素晴らしい自然史博物館、予期せず良い。
